5	TGD Number	City	State	Tweet URL	Video/Image Filename	Description
6	1	Houston	TX	https://twitter.com/greg_doucette/status/1266565461937917953	houston-y9otkTZUloTdGGvx.mp4	trampling a peaceful protestor with a horse
7	2	NYC	NY	https://twitter.com/greg_doucette/status/1266752694057947136	NYCity-hhuJeEads6ku15x6.mp4	Shoving an unarmed woman to the curb, prompting a seizure that put her in the emergency room
8	3	NYC	NY	https://twitter.com/greg_doucette/status/1266753089517821954	NYCity-aaa_THfAdr19FGXb.mp4	doing an intentional hit-and-run with a car door to an unarmed protestor standing in the non-vehicular bike lane
9	4	NYC	NY	https://twitter.com/greg_doucette/status/1266574531621195776	NYCity-igpVj24a2eX3rkha.mp4	NYPD were just beating a variety of people earlier tonight because they could
10	5	Las Vegas	NV	https://twitter.com/greg_doucette/status/1266753948951744514	LasVegas-8e1-759lMLpan2kq.mp4	beating a variety of unarmed protestors for sport
11	6	Fort Wayne	IN	https://twitter.com/greg_doucette/status/1266745200656990208	FtWayne-QXVA1Prr732T_Mao.mp4	pepper-spraying a variety of unarmed protestors for sport
12	7	Minneapolis	MN	https://twitter.com/stribrooks/status/1266186985041022976	Mpls-IOYWpoN-YSW-F7K-.mp4	Minneapolis PD officer in an SUV indiscriminately sprays random citizens with pepper spray from his car window
13	8	Minneapolis	MN	https://twitter.com/greg_doucette/status/1266756341986664451	Mpls-101076871_733566894051056_2007647626035462144_n.mp4	detonating flashbang grenades in a docile crowd of unarmed protestors for sport
14	9	Minneapolis	MN	https://twitter.com/greg_doucette/status/1266756739665473539	Mpls-101811572_828941097631616_6914326236168716288_n.mp4	shooting a random protestor in the neck with a rubber bullet, then detonating more flash-bangs
15	10	Minneapolis	MN	https://twitter.com/greg_doucette/status/1266352623608901634	Mpls-deOD6lzQ.jpeg	Police arresting CNN reportes on air
16	11	Denver	CO	https://twitter.com/AdiGTV/status/1266554320717099008	Denver-EZO0b9xX0AIbnR4.jpeg	police in Denver CO are shooting reporters with paintballs for sport
