city	state	lat	lon
asheville	nc	35.536289350000004	-82.565481
athens	ga	33.9597677	-83.376398
atlanta	ga	33.767315499999995	-84.42031399999999
austin	tx	30.30754155	-97.74864755
boston	ma	42.31244435	-70.9978686
buffalo	ny	42.89625365	-78.85731025
charleston	sc	32.82101	-79.97045495
chicago	il	41.8337853	-87.73209109999999
cincinnati	oh	39.13654665	-84.54098365
cleveland	oh	41.497532	-81.70591884999999
columbus	oh	39.9829828	-82.9907458
dallas	tx	32.818576300000004	-96.73205684999999
denver	co	39.76426205	-104.8547867
des moines	ia	41.56927475	-93.60143485
detroit	mi	42.352717600000005	-83.09919905000001
el centro	ca	32.7855435	-115.55655999999999
el paso	tx	31.81197095	-106.41746549999999
elizabethtown	nc	34.621410999999995	-78.6157335
erie	pa	42.1154557	-80.07112434999999
fort lauderdale	fl	26.1457635	-80.1454651
fort wayne	in	41.08298255	-85.1520656
fredericksburg	va	38.298345	-77.489887
grand rapids	mi	42.956347550000004	-85.660089
harrisburg	pa	40.282143500000004	-76.880442
hollywood	ca	42.1050214	-82.42268965
hoover	al	33.3864205	-86.782428
houston	tx	29.82371055	-95.4608972
indianapolis	in	39.77984395	-86.1330804
jacksonville	fl	30.344972499999997	-81.683107
joliet	il	41.5126441	-88.17627885
kansas city	ks	39.12335175	-94.748311
la mesa	ca	49.043259750000004	-122.7886139
las vegas	nv	36.255022499999995	-115.238347
lincoln	ne	40.797024	-96.6907285
little rock	ak	34.72374415	-92.33612295
long beach	ca	33.7880899	-118.15612425
los angeles	ca	33.9984235	-118.41173615
louisville	ky	38.18861955	-85.6760822
manassas	va	38.744659	-77.4871632
miami	fl	25.782417199999998	-80.22945849999999
minneapolis	mn	44.9707	-93.2615107
murfreesboro	tn	35.8616835	-86.4481325
new york city	ny	40.696788749999996	-73.97963545
omaha	ne	41.291825	-96.0696705
philadelphia	pa	40.00248215	-75.11806455
pittsburgh	pa	40.43136105	-79.98062250000001
portland	me	29.0656187	-110.97170895
raleigh	nc	35.83949675	-78.64488305
richmond	va	37.538508699999994	-77.43428
riverside	ca	50.615202100000005	-108.28253355
sacramento	ca	38.561539999999994	-121.46143000000001
salt lake city	ut	40.7766584	-111.92093795
san antonio	tx	29.45860975	-98.5180947
san diego	ca	32.824516450000004	-117.10776394999999
san francisco	ca	37.78506265	-122.727652
san jose	ca	37.296860249999995	-121.81741249999999
san luis obispo	ca	35.34708645	-120.45539805
seattle	wa	47.60756895	-122.34206449999999
walnut creek	ca	56.76992835	-111.4706371
washington	dc	38.894985500000004	-77.03657079999999
